ID_Article,Title,Corps_Textee,URL_Source,Nb_Partages,Etiquette
11,Election Results Announced 49,"According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...",cnn.com,482,Real
12,Government Hiding The Truth! 63,This is a shocking revelation that they don't want you to know...This is a shocking revelation that they don't want you to know...,truthseeker.org,201,Fake
13,Economy Grows by 2% 18,"According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...",reuters.com,1850,Real
14,Government Hiding The Truth! 66,This is a shocking revelation that they don't want you to know...This is a shocking revelation that they don't want you to know...This is a shocking revelation that they don't want you to know...This is a shocking revelation that they don't want you to know...,dailybuzz.net,1501,Fake
15,SHOCKING REVELATION!!! 63,This is a shocking revelation that they don't want you to know...This is a shocking revelation that they don't want you to know...This is a shocking revelation that they don't want you to know...,truthseeker.org,1278,Fake
16,Election Results Announced 83,"According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...",reuters.com,1655,Real
17,Economy Grows by 2% 57,"According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...",bbc.com,1104,Real
18,Economy Grows by 2% 70,"According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...",bbc.com,3486,Real
19,Economy Grows by 2% 16,"According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...",bbc.com,1000000,Real
20,ALIENS LANDED IN TEXAS! 8,This is a shocking revelation that they don't want you to know...This is a shocking revelation that they don't want you to know...This is a shocking revelation that they don't want you to know...,dailybuzz.net,6856,Fake
21,SHOCKING REVELATION!!! 79,This is a shocking revelation that they don't want you to know...This is a shocking revelation that they don't want you to know...,dailybuzz.net,4628,Fake
22,Scientists Discover New Species 73,"According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...",nytimes.com,1319,Real
23,Economy Grows by 2% 58,"According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...",cnn.com,195,Real
24,New Park Opens in City 84,"According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...",nytimes.com,2285,Real
25,Economy Grows by 2% 52,"According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...",bbc.com,1030,Real
26,Government Hiding The Truth! 27,This is a shocking revelation that they don't want you to know...This is a shocking revelation that they don't want you to know...,truthseeker.org,14029,Fake
27,Government Hiding The Truth! 53,This is a shocking revelation that they don't want you to know...This is a shocking revelation that they don't want you to know...This is a shocking revelation that they don't want you to know...This is a shocking revelation that they don't want you to know...This is a shocking revelation that they don't want you to know...,freedom-eagle.info,1556,Fake
28,Election Results Announced 57,"According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...",bbc.com,68,Real
29,Government Hiding The Truth! 63,This is a shocking revelation that they don't want you to know...This is a shocking revelation that they don't want you to know...,dailybuzz.net,32,Fake
30,Economy Grows by 2% 88,"According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...",nytimes.com,226,Real
31,Economy Grows by 2% 67,"According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...",reuters.com,2795,Real
32,Election Results Announced 75,"According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...",reuters.com,505,Real
33,Government Hiding The Truth! 75,This is a shocking revelation that they don't want you to know...This is a shocking revelation that they don't want you to know...This is a shocking revelation that they don't want you to know...,truthseeker.org,18230,Fake
34,Economy Grows by 2% 19,"According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...",bbc.com,2863,Real
35,Economy Grows by 2% 4,"According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...",reuters.com,442,Real
36,Election Results Announced 14,"According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...",cnn.com,171,Real
37,Economy Grows by 2% 41,"According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...",nytimes.com,394,Real
38,New Park Opens in City 51,"According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...",reuters.com,15,Real
39,Scientists Discover New Species 22,"According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...",cnn.com,4628,Real
40,Scientists Discover New Species 85,"According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...",reuters.com,2851,Real
41,ALIENS LANDED IN TEXAS! 7,This is a shocking revelation that they don't want you to know...This is a shocking revelation that they don't want you to know...This is a shocking revelation that they don't want you to know...,freedom-eagle.info,2308,Fake
42,Economy Grows by 2% 31,"According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...",nytimes.com,670,Real
43,Election Results Announced 89,"According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...",nytimes.com,228,Real
44,YOU WON'T BELIEVE THIS TRICK! 76,This is a shocking revelation that they don't want you to know...This is a shocking revelation that they don't want you to know...,freedom-eagle.info,12935,Fake
45,You Won't Believe This Trick! 45,This is a shocking revelation that they don't want you to know...,freedom-eagle.info,5641,Fake
46,Economy Grows by 2% 11,"According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...",nytimes.com,1143,Real
47,New Park Opens in City 48,"According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...",cnn.com,35,Real
48,Election Results Announced 30,"According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...",,642,Real
49,GOVERNMENT HIDING THE TRUTH! 54,This is a shocking revelation that they don't want you to know...This is a shocking revelation that they don't want you to know...This is a shocking revelation that they don't want you to know...,,3521,Fake
50,Election Results Announced 65,"According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...",nytimes.com,872,Real
51,Economy Grows by 2% 38,"According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...",cnn.com,122,Real
52,YOU WON'T BELIEVE THIS TRICK! 16,This is a shocking revelation that they don't want you to know...This is a shocking revelation that they don't want you to know...This is a shocking revelation that they don't want you to know...This is a shocking revelation that they don't want you to know...This is a shocking revelation that they don't want you to know...,dailybuzz.net,5312,Fake
53,YOU WON'T BELIEVE THIS TRICK! 91,This is a shocking revelation that they don't want you to know...This is a shocking revelation that they don't want you to know...,truthseeker.org,1982,Fake
54,ALIENS LANDED IN TEXAS! 96,This is a shocking revelation that they don't want you to know...This is a shocking revelation that they don't want you to know...This is a shocking revelation that they don't want you to know...This is a shocking revelation that they don't want you to know...,freedom-eagle.info,465,Fake
55,Scientists Discover New Species 94,"According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...",nytimes.com,2451,Real
56,SHOCKING REVELATION!!! 42,This is a shocking revelation that they don't want you to know...,dailybuzz.net,1778,Fake
57,Scientists Discover New Species 46,"According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...",bbc.com,5,Real
58,Scientists Discover New Species 93,"According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...",nytimes.com,1059,Real
59,SHOCKING REVELATION!!! 19,This is a shocking revelation that they don't want you to know...This is a shocking revelation that they don't want you to know...This is a shocking revelation that they don't want you to know...This is a shocking revelation that they don't want you to know...,freedom-eagle.info,654,Fake
60,Election Results Announced 74,"According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...",nytimes.com,4427,Real
61,Economy Grows by 2% 93,"According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...",bbc.com,2081,Real
62,ALIENS LANDED IN TEXAS! 25,This is a shocking revelation that they don't want you to know...This is a shocking revelation that they don't want you to know...,truthseeker.org,1888,Fake
63,You Won't Believe This Trick! 9,This is a shocking revelation that they don't want you to know...This is a shocking revelation that they don't want you to know...This is a shocking revelation that they don't want you to know...,truthseeker.org,614,Fake
64,Scientists Discover New Species 55,"According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...",nytimes.com,695,Real
65,GOVERNMENT HIDING THE TRUTH! 62,This is a shocking revelation that they don't want you to know...,truthseeker.org,1457,Fake
66,Economy Grows by 2% 25,"According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...",nytimes.com,438,Real
67,ALIENS LANDED IN TEXAS! 68,This is a shocking revelation that they don't want you to know...This is a shocking revelation that they don't want you to know...This is a shocking revelation that they don't want you to know...This is a shocking revelation that they don't want you to know...,clickme.xyz,13810,Fake
68,Election Results Announced 18,"According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...",cnn.com,1117,Real
69,Government Hiding The Truth! 36,This is a shocking revelation that they don't want you to know...This is a shocking revelation that they don't want you to know...This is a shocking revelation that they don't want you to know...,truthseeker.org,36,Fake
70,Government Hiding The Truth! 45,This is a shocking revelation that they don't want you to know...This is a shocking revelation that they don't want you to know...This is a shocking revelation that they don't want you to know...,dailybuzz.net,2648,Fake
71,New Park Opens in City 24,"According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...",cnn.com,227,Real
72,Economy Grows by 2% 32,"According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...",reuters.com,1088,Real
73,Election Results Announced 30,"According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...",reuters.com,1826,Real
74,ALIENS LANDED IN TEXAS! 34,This is a shocking revelation that they don't want you to know...This is a shocking revelation that they don't want you to know...This is a shocking revelation that they don't want you to know...This is a shocking revelation that they don't want you to know...,freedom-eagle.info,4517,Fake
75,New Park Opens in City 70,"According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...",cnn.com,1367,Real
76,Scientists Discover New Species 50,"According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...",nytimes.com,696,Real
77,You Won't Believe This Trick! 19,This is a shocking revelation that they don't want you to know...This is a shocking revelation that they don't want you to know...This is a shocking revelation that they don't want you to know...This is a shocking revelation that they don't want you to know...This is a shocking revelation that they don't want you to know...,clickme.xyz,721,Fake
78,ALIENS LANDED IN TEXAS! 27,This is a shocking revelation that they don't want you to know...This is a shocking revelation that they don't want you to know...,clickme.xyz,355,Fake
79,SHOCKING REVELATION!!! 19,This is a shocking revelation that they don't want you to know...,clickme.xyz,6215,Fake
80,SHOCKING REVELATION!!! 98,This is a shocking revelation that they don't want you to know...This is a shocking revelation that they don't want you to know...This is a shocking revelation that they don't want you to know...This is a shocking revelation that they don't want you to know...,freedom-eagle.info,9402,Fake
81,ALIENS LANDED IN TEXAS! 10,This is a shocking revelation that they don't want you to know...This is a shocking revelation that they don't want you to know...This is a shocking revelation that they don't want you to know...This is a shocking revelation that they don't want you to know...This is a shocking revelation that they don't want you to know...,dailybuzz.net,2220,Fake
82,Scientists Discover New Species 58,"According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...",cnn.com,1657,Real
83,Economy Grows by 2% 7,"According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...",cnn.com,810,Real
84,New Park Opens in City 98,"According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...",cnn.com,816,Real
85,Economy Grows by 2% 11,"According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...",nytimes.com,742,Real
86,Election Results Announced 46,"According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...",nytimes.com,137,Real
87,Economy Grows by 2% 68,"According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...",reuters.com,615,Real
88,You Won't Believe This Trick! 49,This is a shocking revelation that they don't want you to know...This is a shocking revelation that they don't want you to know...,clickme.xyz,493,Fake
89,Election Results Announced 16,"According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...",cnn.com,947,Real
90,Economy Grows by 2% 64,"According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...",nytimes.com,767,Real
91,Scientists Discover New Species 22,"According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...",reuters.com,214,Real
92,Scientists Discover New Species 85,"According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...",reuters.com,2049,Real
93,ALIENS LANDED IN TEXAS! 86,This is a shocking revelation that they don't want you to know...This is a shocking revelation that they don't want you to know...,clickme.xyz,3543,Fake
94,Election Results Announced 3,"According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...",reuters.com,1724,Real
95,GOVERNMENT HIDING THE TRUTH! 38,This is a shocking revelation that they don't want you to know...This is a shocking revelation that they don't want you to know...This is a shocking revelation that they don't want you to know...This is a shocking revelation that they don't want you to know...,clickme.xyz,3349,Fake
96,Scientists Discover New Species 82,"According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...",bbc.com,939,Real
97,Election Results Announced 26,"According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...",nytimes.com,553,Real
98,ALIENS LANDED IN TEXAS! 17,This is a shocking revelation that they don't want you to know...,truthseeker.org,136,Fake
99,Scientists Discover New Species 99,"According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...",cnn.com,78,Real
100,New Park Opens in City 25,"According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...",nytimes.com,184,Real
101,SHOCKING REVELATION!!! 49,This is a shocking revelation that they don't want you to know...,clickme.xyz,12080,Fake
102,New Park Opens in City 76,"According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...",nytimes.com,233,Real
103,New Park Opens in City 28,"According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...",reuters.com,549,Real
104,Election Results Announced 26,"According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...",reuters.com,326,Real
105,Election Results Announced 2,"According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...",bbc.com,2580,Real
106,Scientists Discover New Species 56,"According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...",reuters.com,557,Real
107,ALIENS LANDED IN TEXAS! 43,This is a shocking revelation that they don't want you to know...This is a shocking revelation that they don't want you to know...This is a shocking revelation that they don't want you to know...This is a shocking revelation that they don't want you to know...,truthseeker.org,1000000,Fake
108,Election Results Announced 62,"According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...",reuters.com,1503,Real
109,Election Results Announced 43,"According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...",bbc.com,4342,Real
110,Scientists Discover New Species 40,"According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...",reuters.com,7,Real
111,New Park Opens in City 1,"According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...",cnn.com,241,Real
112,Scientists Discover New Species 46,"According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...",reuters.com,2924,Real
113,Economy Grows by 2% 2,"According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...",reuters.com,2787,Real
114,Scientists Discover New Species 51,"According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...",bbc.com,1001,Real
115,New Park Opens in City 60,"According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...",cnn.com,875,Real
116,SHOCKING REVELATION!!! 15,This is a shocking revelation that they don't want you to know...This is a shocking revelation that they don't want you to know...,truthseeker.org,142,Fake
117,Scientists Discover New Species 69,"According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...",cnn.com,3147,Real
118,You Won't Believe This Trick! 69,This is a shocking revelation that they don't want you to know...This is a shocking revelation that they don't want you to know...This is a shocking revelation that they don't want you to know...,freedom-eagle.info,2490,Fake
119,Election Results Announced 45,"According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...",cnn.com,84,Real
120,Election Results Announced 12,"According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...",reuters.com,85,Real
121,Scientists Discover New Species 99,"According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...",reuters.com,28,Real
122,You Won't Believe This Trick! 72,This is a shocking revelation that they don't want you to know...This is a shocking revelation that they don't want you to know...,clickme.xyz,4244,Fake
123,SHOCKING REVELATION!!! 32,This is a shocking revelation that they don't want you to know...,dailybuzz.net,329,Fake
124,Government Hiding The Truth! 8,This is a shocking revelation that they don't want you to know...This is a shocking revelation that they don't want you to know...This is a shocking revelation that they don't want you to know...,freedom-eagle.info,6134,Fake
125,Election Results Announced 75,"According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...",bbc.com,752,Real
126,GOVERNMENT HIDING THE TRUTH! 27,This is a shocking revelation that they don't want you to know...This is a shocking revelation that they don't want you to know...This is a shocking revelation that they don't want you to know...This is a shocking revelation that they don't want you to know...,freedom-eagle.info,3938,Fake
127,ALIENS LANDED IN TEXAS! 39,This is a shocking revelation that they don't want you to know...This is a shocking revelation that they don't want you to know...This is a shocking revelation that they don't want you to know...This is a shocking revelation that they don't want you to know...This is a shocking revelation that they don't want you to know...,truthseeker.org,2130,Fake
128,Election Results Announced 95,"According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...",cnn.com,451,Real
129,Economy Grows by 2% 22,"According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...",nytimes.com,2766,Real
130,New Park Opens in City 42,"According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...",reuters.com,112,Real
131,Scientists Discover New Species 23,"According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...",cnn.com,12,Real
132,Economy Grows by 2% 67,"According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...",bbc.com,86,Real
133,ALIENS LANDED IN TEXAS! 50,This is a shocking revelation that they don't want you to know...This is a shocking revelation that they don't want you to know...This is a shocking revelation that they don't want you to know...This is a shocking revelation that they don't want you to know...This is a shocking revelation that they don't want you to know...,clickme.xyz,81,Fake
134,Election Results Announced 50,"According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...",bbc.com,437,Real
135,Government Hiding The Truth! 19,This is a shocking revelation that they don't want you to know...This is a shocking revelation that they don't want you to know...This is a shocking revelation that they don't want you to know...This is a shocking revelation that they don't want you to know...This is a shocking revelation that they don't want you to know...,clickme.xyz,11440,Fake
136,Scientists Discover New Species 13,"According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...",reuters.com,478,Real
137,SHOCKING REVELATION!!! 59,This is a shocking revelation that they don't want you to know...This is a shocking revelation that they don't want you to know...,clickme.xyz,3153,Fake
138,Government Hiding The Truth! 40,This is a shocking revelation that they don't want you to know...This is a shocking revelation that they don't want you to know...,dailybuzz.net,2223,Fake
139,Economy Grows by 2% 75,"According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...",cnn.com,1085,Real
140,You Won't Believe This Trick! 91,This is a shocking revelation that they don't want you to know...This is a shocking revelation that they don't want you to know...This is a shocking revelation that they don't want you to know...This is a shocking revelation that they don't want you to know...This is a shocking revelation that they don't want you to know...,truthseeker.org,2711,Fake
141,ALIENS LANDED IN TEXAS! 7,This is a shocking revelation that they don't want you to know...,clickme.xyz,1890,Fake
142,Election Results Announced 39,"According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...",cnn.com,2080,Real
143,Scientists Discover New Species 63,"According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...",nytimes.com,820,Real
144,ALIENS LANDED IN TEXAS! 65,This is a shocking revelation that they don't want you to know...This is a shocking revelation that they don't want you to know...This is a shocking revelation that they don't want you to know...This is a shocking revelation that they don't want you to know...,clickme.xyz,11379,Fake
145,SHOCKING REVELATION!!! 42,This is a shocking revelation that they don't want you to know...This is a shocking revelation that they don't want you to know...This is a shocking revelation that they don't want you to know...,clickme.xyz,1817,Fake
146,You Won't Believe This Trick! 52,This is a shocking revelation that they don't want you to know...,dailybuzz.net,1073,Fake
147,Scientists Discover New Species 98,"According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...According to recent reports, the situation is developing as expected...",bbc.com,662,Real
